"filename", "language", "YAML", "Dart", "Properties", "Groovy", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 7, 17
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\analysis_options.yaml", "YAML", 7, 0, 0, 0, 0, 0, 0, 23, 4, 34
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\build.gradle", "Groovy", 0, 0, 0, 55, 0, 0, 0, 4, 13, 72
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\build.gradle", "Groovy", 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\gradle.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\android\settings.gradle", "Groovy", 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\cf_dummy.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 2, 5, 31
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\classes\group.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\classes\list.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 8, 30
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\classes\product.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\classes\signature.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\classes\user.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\db_dummy.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 27, 4, 69
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\imports.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 4, 4, 22
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\main.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 7, 43
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\modules\data.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 5, 19, 86
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\modules\firebase.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 55, 24, 154
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\modules\tools.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 6, 16, 76
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\modules\widgets.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 5, 18, 111
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\screens\groups.dart", "Dart", 0, 274, 0, 0, 0, 0, 0, 24, 35, 333
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\screens\home.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\screens\lists.dart", "Dart", 0, 171, 0, 0, 0, 0, 0, 3, 20, 194
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\lib\screens\products.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 2, 5, 99
"d:\OneDrive - Instituto Superior de Engenharia de Lisboa\Mestrado\Semestre 1\ES\shopping_list\pubspec.yaml", "YAML", 21, 0, 0, 0, 0, 0, 0, 51, 8, 80
"Total", "-", 28, 1070, 8, 91, 62, 10, 39, 256, 247, 1811
